mode,l,m,Vc,d_cutoff_nm,d_cutoff_um,mode_label
HE,1,1,0.0,0.0,0.0,HE11
TE,0,1,2.4048255576957724,382.4752587857158,0.3824752587857158,TE01
TM,0,1,2.4048255576957724,382.4752587857158,0.3824752587857158,TM01
HE,2,1,2.7685459765680878,440.3231392228867,0.4403231392228867,HE21
EH,1,1,3.8317059702075125,609.4133222495014,0.6094133222495014,EH11
HE,1,2,3.8317059702075125,609.4133222495014,0.6094133222495014,HE12
HE,3,1,4.254479244309549,676.6532585943219,0.6766532585943219,HE31
EH,2,1,5.135622301840683,816.7945748232522,0.8167945748232522,EH21
TE,0,2,5.520078110286311,877.9403133806081,0.8779403133806082,TE02
TM,0,2,5.520078110286311,877.9403133806081,0.8779403133806082,TM02
HE,4,1,5.585534116134142,888.3507577871108,0.8883507577871107,HE41
HE,2,2,5.712699020427686,908.5756882493173,0.9085756882493173,HE22
EH,3,1,6.380161895923983,1014.7322596556497,1.0147322596556498,EH31
EH,1,2,7.015586669815619,1115.7933341503526,1.1157933341503525,EH12
HE,1,3,7.015586669815619,1115.7933341503526,1.1157933341503525,HE13
HE,3,2,7.299766350766498,1160.9906652688205,1.1609906652688204,HE32
EH,4,1,7.588342434503804,1206.887221862535,1.206887221862535,EH41
EH,2,2,8.417244140399866,1338.7198171441194,1.3387198171441193,EH22
TE,0,3,8.653727912911013,1376.3313569085622,1.3763313569085622,TE03
TM,0,3,8.653727912911013,1376.3313569085622,1.3763313569085622,TM03
HE,4,2,8.754270885854382,1392.3222047571883,1.3923222047571884,HE42
HE,2,3,8.781190035626937,1396.6035584473138,1.3966035584473138,HE23
EH,3,2,9.76102312998167,1552.4410224707838,1.5524410224707839,EH32
EH,1,3,10.173468135062723,1618.038300222773,1.618038300222773,EH13
HE,1,4,10.173468135062723,1618.038300222773,1.618038300222773,HE14
HE,3,3,10.382116480190069,1651.2227570090095,1.6512227570090094,HE33
EH,4,2,11.064709488501185,1759.7856989919067,1.7597856989919067,EH42
EH,2,3,11.619841172149059,1848.0765663622672,1.8480765663622671,EH23
TE,0,4,11.791534439014281,1875.3835061383738,1.875383506138374,TE04
TM,0,4,11.791534439014281,1875.3835061383738,1.875383506138374,TM04
HE,4,3,11.883657495428055,1890.035209139963,1.890035209139963,HE43
HE,2,4,11.886244652072063,1890.4466832295368,1.8904466832295368,HE24
EH,3,3,13.015200721698434,2070.0013970865307,2.0700013970865307,EH33
EH,1,4,13.323691936314223,2119.0653538320453,2.1190653538320454,EH14
HE,1,5,13.323691936314223,2119.0653538320453,2.1190653538320454,HE15
HE,3,4,13.487247477390174,2145.078029761355,2.145078029761355,HE34
EH,4,3,14.37253667161759,2285.8787679183324,2.2858787679183323,EH43
EH,2,4,14.795951782351262,2353.22078511097,2.3532207851109703,EH24
TE,0,5,14.930917708487787,2374.6864283719237,2.374686428371924,TE05
TM,0,5,14.930917708487787,2374.6864283719237,2.374686428371924,TM05
HE,2,5,15.006132354198712,2386.6489347544352,2.3866489347544353,HE25
HE,4,4,15.01096239596961,2387.417128301929,2.387417128301929,HE44
